Dimension,TagSet,Definition,Reference,TagSet Decomposition,usesEquipment,isPartOf,hasSynonym,hasUnit,hasAbbreviation,can be named? (can be instantiated?),can be unnamed? (cannot be instantiated?),Author,Reviewed,Review Count,Discussion,usesPoint,usesLocation,usesMeasurement
Equipment,Elevator,,,,,,,,,,,,,,,,,
Equipment,Energy Storage,System that captures of energy produced at one time for use at a later time. ,https://en.wikipedia.org/wiki/Energy_storage,,,,,,,,,,,,,,,
Equipment,Fire Safety System,,,,,,,,,,,,,,,,,
Equipment,Heating Ventilation Air Conditioning System,,,,,,HVAC,,,,,,,,,,,
Equipment,Lighting System,,,,,,,,,,,,,,,,,
Equipment,Power System,,,,,,,,,,,,,,,,,
Equipment,Solar Panel,,,,,,,,,,,,,,,,,
Equipment,Steam System,,,,,,,,,,,,,,,,,
Equipment,Water System,,,,,,WS,,,,,,,,,,,
Equipment,Weather,,,,,,,,,,,,,,,,,
Equipment>Energy Storage,Battery,,,,,,,,,,,,,,,,,
Equipment>Energy Storage,Thermal Energy Storage,The temporary storage or removal of heat,https://en.wikipedia.org/wiki/Energy_storage#Thermal_storage,,,,,,,,,,,,,,,
Equipment>Fire Safety System,Fire Control Panel,,,,,,FCP,,FCP,,,Bharath,,,,,,
Equipment>Furniture,Chair,,,,,,,,,,,blip2,,,,,,
Equipment>Furniture,Desk,,,,,,,,,,,blip2,,,,,,
Equipment>HVAC,Air Handler Unit,"Assembly consisting of sections containing a fan or fans and other necessary equipment to perform one or more of the following functions: circulating, filtration, heating, cooling, heat recovery, humidifying, dehumidifying, and mixing of air. Is usually connected to an air-distribution system.",ASHRAE Dictionary,,,,AHU,,AHU,O,X,Joern,,,,,,
Equipment>HVAC,Coil,Cooling or heating element made of pipe or tube that may or may not be finned and formed into helical or serpentine shape.,ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Compressor,"(1) device for mechanically increasing the pressure of a gas. (2) often described as being either open, hermetic, or semihermetic to describe how the compressor and motor drive is situated in relation to the gas or vapor being compressed. Types include centrifugal, axial flow, reciprocating, rotary screw, rotary vane, scroll, or diaphragm. 1. device for mechanically increasing the pressure of a gas. 2. specific machine, with or without accessories, for compressing refrigerant vapor.",ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Computer Room Air Conditioning,"A device that monitors and maintains the temperature, air distribution and humidity in a network room or data center. ",http://searchdatacenter.techtarget.com/definition/computer-room-air-conditioning-unit,,,,CRAC,,CRAC,,,Bharath,,,,,,
Equipment>HVAC,Condenser,A heat exchanger in which the primary heat transfer vapor changes its state to a liquid phase.,ASHRAE Dictionary,,,,Condensor,,,,,,,,,,,
Equipment>HVAC,Boiler,"A closed, pressure vessel that uses fuel or electricity for heating water or other fluids to supply steam or hot water for heating, humidification, or other applications.",ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Damper,Element inserted into an air-distribution system or element of an air-distribution system permitting modification of the air resistance of the system and consequently changing the airflow rate or shutting off the airflow.,ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Economizer,"Device that, on proper variable sensing, initiates control signals or actions to conserve energy. A control system that reduces the mechanical heating and cooling requirement.",ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Fan,"Any device with two or more blades or vanes attached to a rotating shaft used to produce an airflow for the purpose of comfort, ventilation, exhaust, heating, cooling, or any other gaseous transport. ",ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Filter,Device to remove gases from a mixture of gases,ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Fume Hood,"A fume-collection device mounted over a work space, table, or shelf and serving to conduct unwanted gases away from the area enclosed.",ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Pump,"Machine for imparting energy to a fluid, causing it to do work, drawing a fluid into itself through an entrance port, and forcing the fluid out through an exhaust port.",ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Space Heater,"A heater used to warm the air in an enclosed area, such as a room or office","space heater. (n.d.) Collins English Dictionary – Complete and Unabridged, 12th Edition 2014. (1991, 1994, 1998, 2000, 2003, 2006, 2007, 2009, 2011, 2014). Retrieved February 20 2017 from http://www.thefreedictionary.com/space+heater",,,,,,,O,X,Jason,,,,,,
Equipment>HVAC,Terminal Unit,A device that regulates the volumetric flow rate and/or the temperature of the controlled medium.,ASHRAE Dictionary,,,,,,,,,Bharath,,,,,,
Equipment>HVAC,Thermostat,An automatic control device used to maintain temperature at a fixed or adjustable setpoint.,ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Valve,Device to regulate or stop the flow of fluid in a pipe or a duct by throttling.,ASHRAE Dictionary,,,,,,,,,Bharath,,,,,,
Equipment>HVAC,Variable Frequency Drive,"Electronic device that varies its output frequency to vary the rotating speed of a motor, given a fixed input frequency. Used with fans or pumps to vary the flow in the system as a function of a maintained pressure.",ASHRAE Dictionary,,,,VFD,,VFD,O,X,Bharath,,,,,,
Equipment>HVAC>AHU,Heat Wheel VFD,Motor for Heat Wheel,,,,,,,,,,Josh,,,,,,
Equipment>HVAC>AHU,Preheat Hot Water Valve,,,,,,,,,,,Jason,,,,,,
Equipment>HVAC>AHU,Preheat Valve VFD,VFD for Preheat Valve,,,,,,,,,,Josh,,,,,,
Equipment>HVAC>Coil,Cooling Coil,"An arrangement of pipes or tubes, not enclosed in a pressure vessel, that can be used either with refrigerant or secondary coolant to provide cooling or cooling with dehumidification.",ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC>Coil,Preheat Coil,Heating coil installed upstream of cooling coil or at the front of an air-handling system to preheat air.,ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC>Coil,Heat Exchanger,Exchanger that transfers heat from an exhaust airstream to a separated supply airstream.,ASHRAE Dictionary,,,,HX,,HX,,,Bharath,,,,,,
Equipment>HVAC>Coil,Heating Coil,A coil which used to heat supplied air. Can be in both AHU and terminal units,,,,,,,,O,X,Bharath,,,,,,
Equipment>HVAC>CRAC,Emergency Power Off System,A safety mechanism used to shut off a device or machinery in an emergency situation in which it cannot be shut down in the usual manner. (Need verification),https://en.wikipedia.org/wiki/Kill_switch,,,,,,,,,Bharath,,,,,,
Equipment>HVAC>CRAC,Standby CRAC Unit,,,,,,,,,,,,,,,,,
Equipment>HVAC>CWS,Chiller,Refrigerating machine used to transfer heat between fluids. Chillers are either direct expansion with a compressor or absorption type.,ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC>CWS,Cooling Coil,Equipment to cool air using cold water,,,,,,,,O,X,Jason,,,,,,
Equipment>HVAC>CWS,Cooling Tower,"Heat transfer device, often tower like, in which atmospheric air cools warm water, generally by direct contact (evaporation).",ASHRAE Dictionary,,,,,,,O,X,Jason,,,,,,
Equipment>HVAC>CWS,Cooling Tower Fan,,,,,,,,,O,X,Jason,,,,,,
Equipment>HVAC>Damper,Economizer Damper,,,,,,,,,,,,,,,,,
Equipment>HVAC>Damper,Exhaust Air Damper,,,,,,,,,,,,,,,,,
Equipment>HVAC>Damper,Outside Air Damper,,,,,,,,,,,Josh,,,,,,
Equipment>HVAC>Damper,Return Air Damper,,,,,,,,,,,,,,,,,
Equipment>HVAC>Fan,Exhaust Fan,,,,,,,,,,,,,,,,,
Equipment>HVAC>Fan,Return Fan,,,,,,,,,,,,,,,,,
Equipment>HVAC>Fan,Standby Fan,,,,,,,,,,,,,,,,,
Equipment>HVAC>Fan,Supply Fan,,,,,,,,,,,,,,,,,
Equipment>HVAC>Fan>Supply Fan,Booster Fan,Supply Fan for VAV,,,,,,,,O,X,Jason,,,,,,
Equipment>HVAC>Filter,Mixed Air Filter,,,,,,,,,,,Jason,,,,,,
Equipment>HVAC>Pump,Chilled Water Pump,,,,,,,,,,,,,,,,,
Equipment>HVAC>Pump,Hot Water Pump,,,,,,,,,,,,,,,,,
Equipment>HVAC>Terminal Unit,Fan Coil Unit,,,,,,FCU,,FCU,,,Josh,,,,,,
Equipment>HVAC>Terminal Unit,Variable Air Volume,"A type of heating, ventilating, and/or air-conditioning (HVAC) system. VAV systems vary the airflow at a constant temperature. (from Wikipedia)",,,,,VAV,,VAV,O,X,Jason,,,,,,
Equipment>HVAC>Valve,Chilled Water Valve,,,,,,,,,,,Jason,,,,,,
Equipment>HVAC>Valve,Cooling Valve,,,,,,,,,,,,,,,,,
Equipment>HVAC>Valve,Heating Valve,,,,,,,,,,,,,,,,,
Equipment>HVAC>Valve>Heating Valve,Domestic Hot Water Valve,,,,,,,,,,,,,,,,,
Equipment>HVAC>Valve>Heating Valve,Reheat Valve,,,,,,,,,,,,,,,,,
Equipment>Power System,Demand Response,,,,,,,,,,,,,,,,,
Equipment>Power System,Emergency Generator,,,,,,,,,,,,,,,,,
Equipment>Power System,Inverter,,,,,CRAC,,,,,,,,,,,,
Equipment>Valve,Isolation Valve,,,,,,,,,,,Arka,,,,,,
Equipment>Water System,Chilled Water System,,,,,,CWS,,,O,X,Jason,,,,,,
Equipment>Water System,Domestic Hot Water System,,,,,,DHWS,,,,,,,,,,,
Equipment>Water System,Hot Water System,,,,,,HWS,,,,,,,,,,,
Location,Building,,,,,,,,,,,,,,,,,
Location,Floor,,,,,,,,,,,,,,,,,
Location,Roof,,,,,,,,,,,,,,,,,
Location,Basement,,,,,,,,,,,,,,,,,
Location,Outside,,,,,,,,,,,,,,,,,
Location,City,,,,,,,,,,,,,,,,,
Location,Wing,,,,,,,,,,,,,,,,,
Location,Space,,,,,,,,,,,,,,,,,
Location,Room,,,,,,,,,,,,,,"(A TagSet with single Tag, Jason)",,,
Location,Zone,,,,,,,,,,,,,,,,,
Location>Room,Laboratory,,,,,,,,,,,,,,,,,
Location>Room,Server Room,,,,,,,,,,,,,,,,,
Location>Room>Laboratory,Cold Box,A room maintained at cold temperature for storing specimens and chemicals,,,,,,,,,,Bharath,,,,,,
Location>Room>Laboratory,Environment Box,Special temperature room for labs,,,,,,,,,,Bharath,,,,,,
Location>Room>Laboratory,Freezer,Freezer rooms,,,,,,,,,,Bharath,,,,,,
Location>Room>Laboratory,Hot Box,Room maintained at high temperature for labs,,,,,,,,,,Bharath,,,,,,
Location>Zone,HVAC Zone,,,,,,,,,,,,,,,,,
Location>Zone,Lighting Zone,,,,,,,,,,,Gabe,,,,,,
MeasurementProperty,Energy,,,,,VFD,,,,O,X,Bharath,,,,,,
MeasurementProperty,Solar Radiance,,,,,Weather,,,,,,Jason,,,,,,
MeasurementProperty>Angle,Solar Azimuth Angle,,,,,Solar Panel,,,,,,Bharath,,,,,,
MeasurementProperty>Angle,Solar Zenith Angle,,,,,Solar Panel,,,,,,Bharath,,,,,,
MeasurementProperty>CO2,Outside Air CO2,,,,,AHU,,,,,,Jason,,,,,,
MeasurementProperty>CO2,Return Air CO2,,,,,AHU,,,,,,Josh,,,,,,
MeasurementProperty>Conductivity,Deionised Water Conductivity,,,,,Water System,,,,,,Bharath,,,,,,
MeasurementProperty>Current,Motor Current,Measured current,,,,VFD,Load Current,,,O,X,Bharath,,,,,,
MeasurementProperty>Current,Photovoltaic Current Output,,,,,Solar Panel,"PV System Output, PV Current Output",,,,,Bharath,,,,,,
MeasurementProperty>Dewpoint,Outside Air Dewpoint,,,,,AHU,,,,,,Josh,,,,,,
MeasurementProperty>Dewpoint,Return Air Dewpoint,,,,,AHU,,,,,,Josh,,,,,,
MeasurementProperty>Direction,Wind Direction,,,,,Weather,,,,,,Jason,,,,,,
MeasurementProperty>Energy,Thermal Energy,,,,,Thermal Energy Storage,,,,,,Jason,,,,,,
MeasurementProperty>Enthalpy,Outside Air Enthalpy,,,,,AHU,,,,,,Josh,,,,,,
MeasurementProperty>Enthalpy,Outside Enthalpy,,,,,Weather,,,,,,Bharath,,,,,,
MeasurementProperty>Enthalpy,Return Air Enthalpy,,,,,AHU,,,,,,Josh,,,,,,
MeasurementProperty>Flow>Air Flow,Booster Fan Air Flow,,,,,VAV,,,,,,,,,,,,
MeasurementProperty>Flow>Air Flow,Discharge Air Flow,,,,,VAV,Supply Air Flow,,,,,,,,,,,
MeasurementProperty>Flow>Air Flow,Exhaust Air Flow,,,,,Exhaust System,,,,,,Jason,,,,,,
MeasurementProperty>Flow>Air Flow,Fan Air Flow,Volumetric airflow rate at the fan inlet.,,,,AHU,,,,,,Jason,,,,,,
MeasurementProperty>Flow>Air Flow,Outside Air Flow,"1) If associated with AHU, inlet of air external to a building. 2) air external to a defined zone (e.g., corridors).",1) custom 2) ASHRAE Dictionary,,,AHU,,,,,,Jason,,,,,,
MeasurementProperty>Flow>Air Flow,Return Air Flow,,,,,AHU,,,,,,Jason,,,,,,
MeasurementProperty>Flow>Air Flow>Discharge Air Flow,Supply Fan Air Flow,,,,,AHU,,,,,,Bharath,,,,,,
MeasurementProperty>Flow>Air Flow>Exhaust Air Flow,Exhaust Air Stack Flow,,,,,Exhaust System,,,,,,Bharath,,,,,,
MeasurementProperty>Flow>Air Flow>Return Air Flow,Return Fan Air Flow,Air flow measurements specific to a fan,,,,AHU,,,,,,Bharath,,,,,,
MeasurementProperty>Flow>Water Flow,Chilled Water Supply Flow,,,,,Water System,,,,,,Bharath,,,,,,
MeasurementProperty>Frequency,Output Frequency,,,,,VFD,,,,,,Bharath,,,,,,
MeasurementProperty>Grains,Outside Air Grains,,,,,AHU,,,,,,Josh,,,,,,
MeasurementProperty>Grains,Return Air Grains,Number of Grains of Water Per Pound of Air. Calculated as a function of temperature and humidity.,,,,AHU,,,,,,Josh,,,,,,
MeasurementProperty>Humidity,Outside Air Humidity,,,,,AHU,,,,,,Josh,,,,,,
MeasurementProperty>Humidity,Relative Humidity,,,,,Weather,,,,,,Bharath,,,,,,
MeasurementProperty>Humidity,Return Air Humidity,,,,,AHU,,,,,,,,,,,,
MeasurementProperty>Piezoelectric,Exhaust Fan Piezoelectric,Piezoelectric meter of Exhaust Fan,,,,Exhaust System,,,,,,Josh,,,,,,
MeasurementProperty>Piezoelectric,Supply Fan Piezoelectric,,,,,AHU,,,,,,,,,,,,
MeasurementProperty>Position,Damper Position,,,,,VAV,,,,O,X,Jason,,,,,,
MeasurementProperty>Power,Motor Power,,,,,VFD,,,,,,Bharath,,,,,,
MeasurementProperty>Pressure,Static Pressure,Static Pressure in the supply duct,,,,AHU,,,,,,Marco,,,,,,
MeasurementProperty>Pressure>Differential Pressure,Chilled Water Differential Pressure,,,,,Water System,,,,,,Jason,,,,,,
MeasurementProperty>Pressure>Differential Pressure,Filter Differential Pressure,,,,,AHU,,,,,,Bharath,,,,,,
MeasurementProperty>Pressure>Differential Pressure,Heat Wheel Differential Pressure,,,,,AHU,,,,,,Josh,,,,,,
MeasurementProperty>Pressure>Differential Pressure,Hot Water Differential Pressure,,,,,Water System,,,,,,Jason,,,,,,
MeasurementProperty>Pressure>Differential Pressure>Hot Water Differential Pressure,Medium Temperature Hot Water Differential Pressure,,,,,Water System,,,,,,,,,,,,
MeasurementProperty>Pressure>Velocity Pressure,Discharge Air Velocity Pressure,,,,,VAV,Supply Air Velocity Pressure,,,,,Bharath,,,,,,
MeasurementProperty>Pressure>Velocity Pressure,Exhaust Air Velocity Pressure,,,,,Exhaust System,,,,,,Bharath,,,,,,
MeasurementProperty>Speed,Heat Wheel Speed,,,,,AHU,,,,,,Josh,,,,,,
MeasurementProperty>Speed,Motor Speed,,,,,VFD,,,,,,Jason,,,,,,
MeasurementProperty>Speed,Wind Speed,,,,,Weather,,,,,,Jason,,,,,,
MeasurementProperty>Temperature,Chilled Water Discharge Temperature,,,,,Water System,Chilled Water Supply Temperature,,,,,Jason,,,,,,
MeasurementProperty>Temperature,Chilled Water Return Temperature,,,,,Water System,,,,O,X,Jason,,,,,,
MeasurementProperty>Temperature,Cold Box Temperature,,,,,Laboratory,,,,,,Bharath,,,,,,
MeasurementProperty>Temperature,CRAC Temperature,,,,,CRAC,,,,,,Jason,,,,,,
MeasurementProperty>Temperature,Discharge Air Temperature,,,,,AHU,Supply Air Temperature,,,,,Jason,,,Supply Air Temperature,,,
MeasurementProperty>Temperature,Domestic Hot Water Supply Temperature,,,,,Water System,,,,,,Bharath,,,,,,
MeasurementProperty>Temperature,Drive Temperature,Measures VFD temperature,,,,VFD,,,,O,X,Bharath,,,,,,
MeasurementProperty>Temperature,Environment Box Temperature,,,,,Laboratory,,,,,,Bharath,,,,,,
MeasurementProperty>Temperature,Exhaust Air Temperature,,,,,Exhaust System,,,,,,Jason,,,,,,
MeasurementProperty>Temperature,Freezer Temperature,,,,,Laboratory,,,,,,Bharath,,,,,,
MeasurementProperty>Temperature,Heat Exchanger Supply Water Temperature,,,,,Water System,,,,,,Bharath,,,,,,
MeasurementProperty>Temperature,Hot Box Temperature,,,,,Laboratory,,,,,,Bharath,,,,,,
MeasurementProperty>Temperature,Hot Water Return Temperature,,,,,Water System,,,,,,Jason,,,,,,
MeasurementProperty>Temperature,Hot Water Supply Temperature,,,,,Water System,,,,,,Jason,,,,,,
MeasurementProperty>Temperature,Outside Air Temperature,at the inlet of the AHU,,,,AHU,,,,,,Marco,,,,,,
MeasurementProperty>Temperature,Room Temperature,,,,,VAV,,,,,,,,,,,,
MeasurementProperty>Temperature,Water Supply Temperature,,,,,Water System,,,,,,Jason,,,,,,
MeasurementProperty>Temperature,Zone Temperature,Temperature sensor in the thermostat to measure the actual zone temperature,,,,VAV,,,,,,,,,,,,
MeasurementProperty>Temperature>Differential Temperature,Chilled Water Supply Return Differential Temperature,Difference between supply and return temperature,,,,Water System,,,,,,Bharath,,,,,,
MeasurementProperty>Temperature,Heat Wheel Discharge Air Temperature,,,,,AHU,Heat Wheel Supply Air Temperature,,,,,Josh,,,,,,
MeasurementProperty>Temperature,Preheat Discharge Air Temperature,,,,,AHU,Preheat Supply Air Temperature,,,,,Josh,,,,,,
MeasurementProperty>Temperature>Hot Water Return Temperature,High Temperature Hot Water Return Temperature,,,,,Water System,,,,,,,,,,,,
MeasurementProperty>Temperature>Hot Water Return Temperature,Medium Temperature Hot Water Return Temperature,,,,,Water System,,,,,,Jason,,,,,,
MeasurementProperty>Temperature>Hot Water Supply Temperature,High Temperature Hot Water Supply Temperature,,,,,Water System,,,,,,,,,,,,
MeasurementProperty>Temperature>Hot Water Supply Temperature,Medium Temperature Hot Water Supply Temperature,,,,,Water System,,,,,,Jason,,,,,,
MeasurementProperty>Time,Run Time,,,,,VFD,Running Hour,,,,,,,,,,,
MeasurementProperty>Torque,Motor Torque,Measured torque,,,,VFD,,,,O,X,Bharath,,,,,,
MeasurementProperty>Voltage,Battery Voltage,,,,,Solar Panel,,,,,,Bharath,,,,,,
MeasurementProperty>Voltage,DC Bus Voltage,Voltage measured on the communication/control lines,,,,VFD,,,,O,X,Bharath,,,,,,
MeasurementProperty>Voltage,Heat Wheel Voltage,,,,,AHU,,,,,,Josh,,,,,,
MeasurementProperty>Voltage,Output Voltage,,,,,VFD,VFD Voltage,,,,,Bharath,,,,,,
Point,Status,"State, position, or condition of an item.",ASHRAE Dictionary,,,,,,,,,,,,,,,
Point>Alarm,Air Flow Loss Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Change Filter Alarm,Alarm to change dirty filter,,,AHU,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,CO2 High Alarm,,,,AHU,,,,,,,,,,,Alarm,,
Point>Alarm,Communication Loss Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Compressor Overload Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Condensate Leak Alarm,,,,AHU,,,,,,,Jason,,,,Alarm,,
Point>Alarm,Condensate Leak Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Deionised Water Alarm,,,,Water System,,DI Water Alarm,,,,,Bharath,,,,Alarm,,
Point>Alarm,Discharge Air Smoke Detected Alarm,,,,AHU,,Supply Air Smoke Detected Alarm,,,,,Bharath,,,,Alarm,,
Point>Alarm,Discharge Air Temperature High Limit Alarm,,,,AHU,,Supply Air Temperature High Limit Alarm,,,,,,,,,Alarm,,
Point>Alarm,Emergency Generator Alarm,,,,Emergency Generator,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Emergency Power Loss Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Fan Overload Alarm,,,,CRAC,,,,,,,Bharath,,,Also part of CRAC,Alarm,,
Point>Alarm,Fume Hood Alarm,,,,Fume Hood,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,High Head Pressure Alarm,,,,CRAC,,,,,,,Jason,,,,Alarm,,
Point>Alarm,High Humidity Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,High Temperature Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Hot Water Pump Alarm,,,,HWS,,,,,,,,,,,Alarm,,
Point>Alarm,Humidifier Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Humidifier Panel No Water Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Liquid Detected Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Low Humidity Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Low Suction Pressure Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Low Temperature Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Luminance Alarm,,,,Lighting System,,,,,,,,,,,Alarm,,
Point>Alarm,Maintenance Required Alarm,,,,VFD,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Power Loss Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Pump Alarm,,,,Pump,,,,,,,,,,,Alarm,,
Point>Alarm,Return Air Temperature High Limit Alarm,,,,AHU,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Return Air Temperature Low Limit Alarm,,,,AHU,,,,,,,Arka,,,,Alarm,,
Point>Alarm,Short Cycle Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Smoke Detected Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Unit Failed Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,VFD Alarm,,,,VFD,,,,,,,Bharath,,,,Alarm,,
Point>Alarm,Water Loss Alarm,,,,CRAC,,,,,,,Bharath,,,,Alarm,,
Point>Alarm>Failure Alarm,Chiller Failure Alarm,,,,Chiller,,,,,,,Arka,,,,Alarm,,
Point>Alarm>Temperature Alarm,Chiller Supply Water Temperature Alarm,,,,Chiller,,Chiller Discharge Water Temperature Alarm,,,,,Arka,,,,Alarm,,
Point>Command,Cooling Command,,,,VAV,,,,,O,X,Jason,,,,Command,,
Point>Command>Override Command,Curtailment Override Command,,,,AHU,,,,,,,Arka,,,,Command,,
Point>Command,Damper Command,,,,VAV,,,,,O,X,Jason,,,,Command,,
Point>Command,Discharge Air Flow Command,,,,VAV,,Supply Air Flow Command,,,,,Josh,,,,Command,,
Point>Command,Emergency Power Off Command,,,,CRAC,,,,,,,Bharath,,,,Command,,
