Dimension,TagSet,Definition,Reference,TagSet Decomposition,usesEquipment,isPartOf,hasSynonym,hasUnit,hasAbbreviation,can be named? (can be instantiated?),can be unnamed? (cannot be instantiated?),Author,Reviewed,Review Count,Discussion,usesPoint,usesLocation,usesMeasurement
Point>Command,Emergency Power Off Switch Command,,,,CRAC,,,,,,,Bharath,,,,Command,,
Point>Command,Enable Command,,,,HVAC; CRAC,,,,,,,,,,,Command,,
Point>Command,Disable Command,,,,HVAC; CRAC,,,,,,,,,,,,,
Point>Command,Frequency Command,,,,VFD,,,,,,,Bharath,,,,Command,,
Point>Command,Heating Command,,,,VAV,,,,,O,X,Jason,,,,Command,,
Point>Command,Humidify Command,,,,CRAC,,,,,,,Josh,,,,Command,,
Point>Command,Load Shed Command,,,,DemandResponse,,,,,,,Bharath,,,,Command,,
Point>Command,Luminance Command,,,,Lighting System,,,,,,,,,,,Command,,
Point>Command,Occupancy Command,,,,VAV; AHU,,Occupied Command,,,O,X,Jason,,,,Command,,
Point>Command,Panel Lockout Command,,,,VFD,,,,,O,X,Bharath,,,,Command,,
Point>Command>Pump Command,Pump Lead Lag Command,,,,Pump,,,,,,,,,,,Command,,
Point>Command>Pump Command,Pump Lead On Off Command,,,,Pump,,,,,,,,,,,Command,,
Point>Command,Start Stop Command,,,,VFD; CRAC,,,,,,,,,,,Command,,
Point>Command,Valve Command,,,,Water System,,,,,,,,,,,Command,,
Point>Command,Emergency Air Flow Command,,,,,,,,,,,,,,,,,
Point>Command>Cooling Command,Highest Zone Cooling Command,,,,HVAC;AHU,,,,,,,,,,,Command,Zone,
Point>Command>Damper Command,Economizer Damper Command,,,,AHU,,,,,,,Jason,,,"(Maybe synonymous to Economizer Mode?, Jason)",Command,,
Point>Command>Damper Command,Exhaust Bypass Damper Command,,,,AHU,,,,,,,Bharath,,,,Command,,
Point>Command>Damper Command,Mixed Air Damper Position Command,,,,AHU,,,,,,,Josh,,,,Command,,
Point>Command>Damper Command,Outside Air Damper Position Command,,,,AHU,,,,,,,Josh,,,,Command,Outside,
Point>Command>Direction Command,Motor Direction Command,Command to change VFD direction,,,VFD,,,,,O,X,Bharath,,,,Command,,
Point>Command>Direction Command,Run Direction Command,Command to change VFD direction,,,VFD,,,,,O,X,Bharath,,,,Command,,
Point>Command>Enable Command,VFD Enable Command,,,,VFD;AHU,,,,,,,,,,,,,
Point>Command>Enable Command,System Enable Command,,,,AHU; CRAC; VFD,,,,,,,Bharath,,,,Command,,
Point>Command>Enable Command,Chilled Water System Enable Command,,,,CWS,,,,,O,,Jason,,,,Command,,
Point>Command>Enable Command,Domestic Hot Water System Enable Command,,,,DHWS,,,,,,,Bharath,,,,Command,,
Point>Command>Enable Command,Exhaust Fan Enable Command,Enable switch for one particular exhaust fan,,,AHU,,,,,,,Bharath,,,,Command,,
Point>Command>Enable Command,Exhaust Fan System Enable Command,Enable switch for a collection of exhaust fans,,,AHU,,,,,,,Bharath,,,,Command,,
Point>Command>Enable Command,Hot Water System Enable Command,,,,HWS,,,,,,,Jason,,,,Command,,
Point>Command>Enable Command,Run Enable Command,A command that allows VFD to be used,,,VFD,,,,,O,X,Bharath,,,,Command,,
Point>Command>Disable Command,Exhaust Fan Disable Command,,,,AHU,,,,,,,,,,,,,
Point>Command>Fans Stage Command,Building Exhaust Fans Stage Command,Exhaust fans are typically arranged so that they can be fired in stages as per requirement. This command controls which stage is switched on,,,AHU,,,,,,,Bharath,,,,Command,Building,
Point>Command>Fire Control Panel Command,Fire Control Panel Off Command,,,,AHU; Fire Control Panel,,,,,,,Bharath,,,,Command,,
Point>Command>Fire Control Panel Command,Exhaust Fan Fire Control Panel Off Command,,,,AHU; Fire Control Panel,,,,,,,Bharath,,,,Command,,
Point>Command>Fire Control Panel Command,Fire Control Panel On Command,,,,AHU; Fire Control Panel,,,,,,,Bharath,,,,Command,,
Point>Command>Fire Control Panel Command,Exhaust Fan Fire Control Panel On Command,,,,AHU; Fire Control Panel,,,,,,,Bharath,,,,Command,,
Point>Command>Frequency Command,Max Frequency Command,,,,VFD,,,,,,,Bharath,,,,Command,,
Point>Command>Load Shed Command,Standby Load Shed Command,,,,DemandResponse,,,,,,,Bharath,,,,Command,,
Point>Command>Load Shed Command,Unoccupied Load Shed Command,,,,DemandResponse,,,,,,,Bharath,,,,Command,,
Point>Command>Load Shed Command>Standby Load Shed Command,Zone Standby Load Shed Command,,,,DemandResponse,,,,,,,Bharath,,,,Command,Zone,
Point>Command>Load Shed Command>Unoccupied Load Shed Command,Zone Unoccupied Load Shed Command,,,,DemandResponse,,,,,,,Bharath,,,,Command,Zone,
Point>Command>Mode Command,Automatic Mode Command,,,,AHU,,,,,,,,,,,Command,,
Point>Command>Mode Command,Maintenance Mode Command,,,,VFD,,,,,,,Jason,,,,Command,,
Point>Command>Mode Command,Box Mode Command,,,,VAV,,,,,,,Bharath,,,,Command,,
Point>Command>On Off Command,Steam On Off Command,,,,AHU,,,,,,,Arka,,,,Command,,
Point>Command>Pump Command,Chilled Water Pump Lead Lag Command,,,,CWS,,,,,,,,,,,Command,,
Point>Command>Pump Command,Hot Water Pump Lead Lag Command,,,,HWS,,,,,,,,,,,Command,,
Point>Command>Request Command,Run Request Command,Request to have AHU turn on,,,AHU,,,,,,,Josh,,,,Command,,
Point>Command>Reset Command,Fault Reset Command,Command to reset fault status after fixed by operator,,,VFD,,,,,,,Bharath,,,,Command,,
Point>Command>Reset Command,Filter Reset Command,Command to reset the filter status,,,VFD,,,,,O,X,Bharath,,,,Command,,
Point>Command>Reset Command,Speed Reset Command,,,,VFD,,,,,,,Arka,,,,Command,,
Point>Command>Shutdown Command,Shutdown Hot Water When Unoccupied Command,,,,HWS,,,,,,,Bharath,,,,Command,,
Point>Status,System Status,,,,AHU; FCU,,,,,,,Bharath,,,,Status,,
Point>Status,VFD Status,,,,AHU;Exhaust Fan;Return Fan; Supply Fan,,,,,,,,,,,,,
Point>Command>Shutdown Command,System Shutdown Command,,,,AHU,,,,,,,Bharath,,,,Command,,
Point>Command,VFD Speed Command,Tells the VFD to run at certain % of its capacity,,,VFD; FCU; AHU,,,,,,,Bharath,,,,Command,,
Point>Command>VFD Speed Command,Chilled Water Pump VFD Speed Command,,,,CWS,,,,,,,,,,,Command,,
Point>Command>VFD Speed Command,Hot Water Pump VFD Speed Command,,,,HWS,,,,,,,,,,,Command,,
Point>Status>VFD Speed Status,Return Fan VFD Speed Status,,,,AHU; FCU,,,,,,,,,,,Status,,
Point>Status>VFD Speed Status,Supply Fan VFD Speed Status,,,,AHU; FCU,,Discharge Fan VFD Speed Status,,,,,,,,,Status,,
Point>Setpoint>VFD Speed Setpoint,Return Fan VFD Speed Setpoint,,,,AHU; FCU,,,,,,,,,,,Setpoint,,
Point>Setpoint>VFD Speed Setpoint,Supply Fan VFD Speed Setpoint,,,,AHU; FCU,,Discharge Fan VFD Speed Setpoint,,,,,,,,,Setpoint,,
Point>Command>VFD Speed Command,Exhaust Fan VFD Speed Command,,,,AHU; FCU,,,,,,,,,,,,,
Point>Command>VFD Speed Command,Return Fan VFD Speed Command,AHU commands its return fans to run at specified % of its capacity,,,AHU; FCU,,,,,,,,,,,Command,,
Point>Command>VFD Speed Command,Supply Fan VFD Speed Command,AHU commands its supply fans to run at specified % of its capacity,,,AHU; FCU,,Discharge Fan VFD Speed Command,,,,,,,,,Command,,
Point>Sensor>VFD Speed Sensor,Return Fan VFD Speed Sensor,,,,AHU; FCU,,,,,,,,,,,Sensor,,
Point>Sensor>VFD Speed Sensor,Supply Fan VFD Speed Sensor,,,,AHU; FCU,,Discharge Fan VFD Speed Sensor,,,,,,,,,Sensor,,
Point>Command>Reset Command,Fan Speed Reset Command,,,,Supply Fan,,,,,,,Arka,,,,Command,,
Point>Command>Booster Command,Booster Fan Command,,,,VAV,,,,,O,X,Jason,,,,Command,,
Point>Command>Start Stop Command,Booster Fan Start Stop Command,,,,VAV,,,,,O,X,Jason,,,,Command,,
Point>Command>Pump Command,Chilled Water Pump Command,,,,CWS,,,,,,,Jason,,,,Command,,
Point>Command>Start Stop Command,Chilled Water Pump Start Stop Command,,,,CWS,,,,,,,Jason,,,,Command,,
Point>Command>Start Stop Command,Pump Start Stop Command,,,,CRAC,,,,,,,Bharath,,,,Command,,
Point>Command>Start Stop Command,Domestic Hot Water System Start Stop Command,,,,DHWS,,,,,,,Bharath,,,,Command,,
Point>Command>Fan Command,Exhaust Fan Command,,,,CWS,,,,,,,Jason,,,,Command,,
Point>Command>Start Stop Command,Exhaust Fan Start Stop Command,,,,AHU,,,,,,,Bharath,,,,Command,,
Point>Command>Start Stop Command,Hot Water Pump Start Stop Command,,,,HWS,,,,,,,Jason,,,,Command,,
Point>Command>Start Stop Command,Motor Start Stop Command,Command to turn on/off VFD,,,VFD,,,,,O,X,Bharath,,,,Command,,
Point>Command>Start Stop Command,Pump Start Stop Command,,,,Pump,,,,,,,Jason,,,,Command,,
Point>Command>Fan Command,Return Fan Command,,,,AHU,,,,,,,Jason,,,,Command,,
Point>Command>Start Stop Command,Return Fan Start Stop Command,,,,AHU,,,,,,,Jason,,,,Command,,
Point>Command>Fan Command,Supply Fan Command,,,,AHU,,Discharge Fan Command,,,,,Jason,,,,Command,,
Point>Command>Start Stop Command,Supply Fan Start Stop Command,,,,AHU,,Discharge Fan Start Stop Command,,,,,Jason,,,,Command,,
Point>Command>Start Stop Command,Heat Exchanger Start Stop Command,,,,AHU,,,,,,,,,,,,,
Point>Command>Valve Command,Chilled Water Bypass Valve Command,,,,CWS,,,,,,,Bharath,,,,Command,,
Point>Command>Valve Command,Cooling Valve Command,Can also be part of CRAC,,,VFD; VAV; FCU; AHU,,,,,O,X,Jason,,,,Command,,
Point>Command>Valve Command,Hot Water Valve Command,,,,VAV,,,,,,,,,,,,,
Point>Command>Valve Command,Domestic Hot Water Valve Command,,,,DHWS,,,,,,,Bharath,,,,Command,,
Point>Command>Valve Command,Heat Exchanger Valve Command,,,,HWS,,,,,,,Bharath,,,,Command,,
Point>Command>Valve Command,Heating Valve Command,,,,VFD; VAV; FCU; AHU,,,,,O,X,Jason,,,,Command,,
Point>Command>Valve Command,Perimeter Heating Valve Command,,,,Water System,,,,,,,Josh,,,,Command,,
Point>Command>Valve Command,Reheat Valve Command,,,,VAV,,,,,O,X,Jason,,,,Command,,
Point>Command>Valve Command,Preheat Valve Command,,,,AHU,,,,,,,Josh,,,,Command,,
Point>Command>Valve Command,Return Air Preheat Valve Command,,,,AHU,,,,,,,Josh,,,,Command,,
Point>Command>Valve Command,Return Heat Valve Command,,,,AHU,,,,,,,,,,,Command,,
Point>Meter,Power Meter,,,,Power System; VFD,,,,,,,Jason,,,,Meter,,
Point>Meter,Gas Meter,,,,,,,,,,,,,,,Meter,,
Point>Meter,Water Meter,,,,Water System,,,,,,,,,,,Meter,,
Point>Meter>Energy Meter,Peak Energy Today Meter,,,,,,,,,,,Josh,,,,Meter,,
Point>Meter>Flow Meter,Hot Water Flow Meter,,,,HWS,,,,,,,Bharath,,,,Meter,,
Point>Meter>Power Meter,Electrical Power Meter,,,,,,,,,,,Bharath,,,,Meter,,
Point>Meter>Power Meter,Motor Power Meter,,,,VFD,,,,,,,Bharath,,,,Meter,,
Point>Meter>Power Meter,Thermal Power Meter,,,,,,,,,,,Bharath,,,,Meter,,
Point>Meter>Power Meter>Thermal Power Meter,Cooling Thermal Power Meter,,,,,,,,,,,Bharath,,,,Meter,,
Point>Meter>Power Meter>Thermal Power Meter,Heating Thermal Power Meter,,,,,,,,,,,Bharath,,,,Meter,,
Point>Meter>Steam Usage Meter,Current Steam Usage Meter,,,,Steam System,,,,,,,Josh,,,,Meter,,
Point>Meter>Steam Usage Meter,Monthly Steam Usage Meter,,,,Steam System,,,,,,,Josh,,,,Meter,,
Point>Meter>Steam Usage Meter,Steam Usage Today Meter,,,,Steam System,,,,,,,Josh,,,,Meter,,
Point>Meter>Steam Usage Meter,Yearly Steam Usage Meter,,,,Steam System,,,,,,,Josh,,,,Meter,,
Point>Meter>Water Meter,Chilled Water Meter,,,,CWS,,,,,,,,,,,,,
Point>Meter>Water Meter,Hot Water Meter,,,,HWS,,,,,,,,,,,Meter,,
Point>Sensor,Average Cooling Demand Sensor,Average of cooling demand across thermal zones. This could be for one AHU or one floor or entire building,,,HVAC,,,,,,,Bharath,,,,Sensor,,
Point>Sensor,CO2 Differential Sensor,Sensor that measures the difference in CO2 level between any two points in the system.,,,AHU,,CO2 Sensor,,,,,Bharath,,,,Sensor,,
Point>Sensor,CO2 Level Sensor,Sensor for the measurement of carbon dioxide gas.,,,VAV,,CO2 Level Sensor,,,O,X,Jason,,,,Sensor,,
Point>Sensor,CO2 Sensor,Sensor for the measurement of carbon dioxide gas.,,,VAV; FCU,,,,,O,X,Jason,,,,Sensor,,
Point>Sensor,Damper Position Sensor,Percentage of damper open,,,VAV,,,,,O,X,Jason,,,,Sensor,,
Point>Sensor,Energy Sensor,,,,VFD,,,,,O,X,Bharath,,,,Sensor,,
Point>Sensor,Flow Sensor,A general purpose flow sensor,,,,,,,,,,Aslak,,,,Sensor,,
Point>Sensor,Frost Sensor,,,,AHU,,,,,,,,,,,Sensor,,
Point>Sensor,Hail Sensor,,,,Weather,,,,,,,,,,,Sensor,,
Point>Sensor,Humidity Sensor,A general purpose humidity sensor,,,CRAC; FCU,,,,,,,Bharath,,,,Sensor,,
Point>Sensor,Outside Luminance Sensor,,,,,,,,,,,,,,,Sensor,Outside,
Point>Setpoint,CO2 Setpoint,,,,,,,,,,,,,,,Setpoint,,
Point>Setpoint,Luminance Setpoint,,,,Lighting System,,,,,,,,,,,Setpoint,,
Point>Sensor,Luminance Sensor,,,,Lighting System,,,,,,,,,,,Sensor,,
Point>Sensor,Occupancy Sensor,,,,VAV,,,,,O,X,Jason,,,,Sensor,,
Point>Sensor,Pressure Sensor,A general purpose pressure sensor,,,,,,,,,,Aslak,,,,Sensor,,
Point>Sensor,Rain Duration Sensor,,,,Weather,,,,,,,,,,,Sensor,,
Point>Sensor,Rain Sensor,,,,Weather,,,,,,,,,,,Sensor,,
Point>Sensor,Run Time Sensor,Sensor that measures accumulated hours of equipment operation.,Adapted from ASHRAE Dictionary,,VFD; AHU; Boiler; Chiller; FCU,,,,,,,,,,,Sensor,,
Point>Sensor,Running Hour Sensor,,,,VFD,,,,,,,,,,,Sensor,,
Point>Sensor,Solar Radiance Sensor,,,,Weather,,,,,,,Jason,,,,Sensor,,
Point>Sensor,Temperature Sensor,A general purpose temperature sensor,,,,,,,,,,Aslak,,,,Sensor,,
Point>Sensor,Thermostat Adjust Sensor,User's delta command to control temperature setpoint in thermostat,,,VAV,,,,,O,X,Jason,,,,Sensor,,
Point>Sensor,Trace Heat Sensor,,,,AHU,,,,,,,,,,,Sensor,,
Point>Sensor,Warm Cool Adjust Sensor,User's delta command to control temperature setpoint in thermostat,,,VAV,,,,,O,X,Jason,,,,Sensor,,
Point>Sensor,Current Sensor,,,,VFD,,,,,,,,,,,,,
Point>Sensor>Air Grains Sensor,Outside Air Grains Sensor,,,,AHU,,,,,,,Josh,,,,Sensor,Outside,
Point>Sensor>Air Grains Sensor,Return Air Grains Sensor,,,,AHU,,,,,,,Josh,,,,Sensor,,
Point>Sensor>Angle Sensor,Solar Azimuth Angle Sensor,,,,Solar Panel,,,,,,,Bharath,,,,Sensor,,
Point>Sensor>Angle Sensor,Solar Zenith Angle Sensor,,,,Solar Panel,,,,,,,Bharath,,,,Sensor,,
Point>Sensor>CO2 Sensor,Outside Air CO2 Sensor,,,,AHU,,,,,,,,,,,Sensor,Outside,
Point>Sensor>CO2 Sensor,Return Air CO2 Sensor,,,,AHU; FCU,,,,,,,Josh,,,,Sensor,,
Point>Sensor>Conductivity Sensor,Deionised Water Conductivity Sensor,,,,Water System,,,,,,,Bharath,,,,Sensor,,
Point>Sensor>Current Sensor,Load Current Sensor,Measured current,,,VFD,,,,,O,X,Bharath,,,,Sensor,,
Point>Sensor>Current Sensor,Motor Current Sensor,Measured current,,,VFD,,,,,O,X,Bharath,,,,Sensor,,
Point>Sensor>Current Sensor,Photovoltaic Current Output Sensor,,,,Solar Panel,,PV Current Output Sensor,,,,,Bharath,,,,Sensor,,
Point>Sensor>Damper Position Sensor,Bypass Damper Position Sensor,,,,AHU,,,,,,,Jason,,,,Sensor,,
Point>Sensor>Damper Position Sensor,Fume Hood Sash Position Sensor,,,,Fume Hood,,,,,,,Bharath,,,,Sensor,,
Point>Sensor>Damper Position Sensor,Mixed Air Damper Position Sensor,,,,AHU,,,,,,,Jason,,,,Sensor,,
Point>Sensor>Damper Position Sensor,Outside Air Damper Position Sensor,,,,AHU,,,,,,,Jason,,,,Sensor,Outside,
Point>Sensor>Demand Sensor,Peak Power Demand Sensor,,,,Power System,,,,,,,Arka,,,,Sensor,,
Point>Sensor>Dewpoint Sensor,Outside Air Dewpoint Sensor,,,,AHU,,,,,,,Josh,,,,Sensor,Outside,
Point>Sensor>Dewpoint Sensor,Return Air Dewpoint Sensor,,,,AHU,,,,,,,Josh,,,,Sensor,,
Point>Sensor>Direction Sensor,Wind Direction Sensor,,,,Weather,,,,,,,Jason,,,,Sensor,,
Point>Sensor>Enthalpy Sensor,Outside Air Enthalpy Sensor,,,,AHU,,,,,,,Josh,,,,Sensor,Outside,
Point>Sensor>Enthalpy Sensor,Outside Enthalpy Sensor,,,,Weather,,,,,,,Bharath,,,,Sensor,Outside,
Point>Sensor>Enthalpy Sensor,Return Air Enthalpy Sensor,,,,AHU,,,,,,,Josh,,,,Sensor,,
Point>Sensor>Flow Sensor>Air Flow Sensor,Bypass Air Flow Sensor,,,,AHU,,,,,,,Josh,,,,Sensor,,
Point>Sensor>Flow Sensor>Air Flow Sensor,Discharge Air Flow Sensor,Discharge Air Flow Sensor,,,VAV,,Supply Air Flow Sensor,,,,,,,,,Sensor,,
Point>Sensor>Flow Sensor>Air Flow Sensor,Exhaust Air Flow Sensor,,,,AHU,,,,,,,Jason,,,,Sensor,,
Point>Sensor>Flow Sensor>Air Flow Sensor,Fan Air Flow Sensor,,,,Fan;Exhaust Fan;Supply Fan;Return Fan,,,,,,,Jason,,,,Sensor,,
Point>Sensor>Flow Sensor>Air Flow Sensor,Fume Hood Air Flow Sensor,,,,Fume Hood,,,,,,,Bharath,,,,Sensor,,
Point>Sensor>Flow Sensor>Air Flow Sensor,Outside Air Flow Sensor,,,,AHU,,,,,,,Jason,,,,Sensor,Outside,
Point>Sensor>Flow Sensor>Air Flow Sensor,Return Air Flow Sensor,,,,AHU,,,,,,,Jason,,,,Sensor,,
Point>Sensor>Flow Sensor>Air Flow Sensor>Discharge Air Flow Sensor,Average Discharge Air Flow Sensor,"Average of supply air to thermal zones. Granurality: AHU, floor, building",,,HVAC,,Average Supply Air Flow Sensor,,,,,Bharath,,,,Sensor,,
Point>Sensor>Flow Sensor>Air Flow Sensor>Exhaust Air Flow Sensor,Exhaust Air Stack Flow Sensor,,,,AHU,,,,,,,Bharath,,,,Sensor,,
Point>Sensor>Flow Sensor>Air Flow Sensor>Fan Air Flow Sensor,Booster Fan Air Flow Sensor,,,,VAV,,,,,,,,,,,Sensor,,
Point>Sensor>Flow Sensor>Air Flow Sensor>Fan Air Flow Sensor,Return Fan Air Flow Sensor,Air flow measurements specific to a fan,,,AHU,,,,,,,Bharath,,,,Sensor,,
Point>Sensor>Flow Sensor>Air Flow Sensor>Fan Air Flow Sensor,Supply Fan Air Flow Sensor,,,,AHU,,Discharge Fan Air Flow Sensor,,,,,Bharath,,,,Sensor,,
Point>Sensor>Flow Sensor>Water Flow Sensor>Supply Water Flow Sensor,Chilled Water Supply Flow Sensor,,,,CWS,,Chilled Water Discharge Flow Sensor,,,,,Bharath,,,,Sensor,,
Point>Sensor>Frequency Sensor,Output Frequency Sensor,,,,VFD,,,,,,,Bharath,,,,Sensor,,
Point>Sensor>Humidity Sensor,Discharge Air Humidity Sensor,,,,AHU,,Supply Air Humidity Sensor,,,,,Dezhi,,,,Sensor,,
Point>Sensor>Humidity Sensor,Exhaust Air Humidity Sensor,,,,AHU,,,,,,,Dezhi,,,,Sensor,,
Point>Sensor>Humidity Sensor,Outside Air Humidity Sensor,,,,AHU,,,,,,,Josh,,,,Sensor,Outside,
Point>Sensor>Humidity Sensor,Relative Humidity Sensor,,,,Weather,,,,,,,Bharath,,,,Sensor,,
Point>Sensor>Humidity Sensor,Return Air Humidity Sensor,,,,AHU; FCU,,,,,,,,,,,Sensor,,
Point>Sensor>Humidity Sensor,Zone Humidity Sensor,,,,CRAC,,,,,,,,,,,Sensor,Zone,
Point>Sensor>Motion Sensor,PIR Sensor,,,,,,,,,,,,,,,Sensor,,
Point>Sensor>Piezoelectric Sensor,Exhaust Fan Piezoelectric Sensor,,,,AHU,,,,,,,Josh,,,,Sensor,,
Point>Sensor>Piezoelectric Sensor,Supply Fan Piezoelectric Sensor,,,,AHU,,Discharge Fan Piezoelectric Sensor,,,,,,,,,Sensor,,
Point>Sensor>Pressure Sensor,Cooling Coil Valve Pressure Sensor,,,,Supply Fan,,,,,,,Arka,,,,Sensor,,
Point>Sensor>Pressure Sensor,Differential Pressure Sensor,,,,AHU; Supply Fan,,,,,,,,,,,Sensor,,
Point>Sensor>Pressure Sensor,Static Pressure Sensor,Static Pressure in the supply duct,,,AHU,,,,,,,Marco,,,,Sensor,,
Point>Status>Pressure Status,Supply Air Duct Pressure Status,,,,VAV,,Discharge Air Duct Pressure Status,,,,,Dezhi,,,,Sensor,,
Point>Sensor>Pressure Sensor>Differential Pressure Sensor,Chilled Water Differential Pressure Sensor,,,,CWS,,,,,,,Jason,,,,Sensor,,
Point>Sensor>Pressure Sensor>Differential Pressure Sensor,Filter Differential Pressure Sensor,,,,Filter,,,,,,,Bharath,,,,Sensor,,
Point>Sensor>Pressure Sensor>Differential Pressure Sensor,Heat Wheel Differential Pressure Sensor,,,,AHU,,,,,,,Josh,,,,Sensor,,
Point>Sensor>Pressure Sensor>Differential Pressure Sensor,Hot Water Differential Pressure Sensor,,,,HWS,,,,,,,Jason,,,,Sensor,,
Point>Sensor>Pressure Sensor>Differential Pressure Sensor>Hot Water Differential Pressure Sensor,Medium Temperature Hot Water Differential Pressure Sensor,,,,HWS,,,,,,,,,,,Sensor,,
Point>Sensor>Pressure Sensor>Static Pressure Sensor,Building Static Pressure Sensor,,,,AHU,,,,,,,Bharath,,,,Sensor,Building,
Point>Sensor>Pressure Sensor>Static Pressure Sensor,Discharge Air Static Pressure Sensor,,,,AHU,,Supply Air Static Pressure Sensor,,,,,,,,,Sensor,,
Point>Sensor>Pressure Sensor>Static Pressure Sensor,Exhaust Air Static Pressure Sensor,,,,AHU,,,,,,,Bharath,,,,Sensor,,
Point>Sensor>Pressure Sensor>Static Pressure Sensor>Exhaust Air Static Pressure Sensor,Average Exhaust Air Static Pressure Sensor,,,,AHU,,,,,,,Bharath,,,,Sensor,,
Point>Sensor>Pressure Sensor>Static Pressure Sensor>Exhaust Air Static Pressure Sensor,Lowest Exhaust Air Static Pressure Sensor,,,,AHU,,,,,,,Bharath,,,,Sensor,,
Point>Sensor>Pressure Sensor>Valve Pressure Sensor,Chilled Valve Pressure Sensor,,,,FCU,,,,,,,Arka,,,,Sensor,,
Point>Sensor>Pressure Sensor>Velocity Pressure Sensor,Discharge Air Velocity Pressure Sensor,,,,VAV,,Supply Air Velocity Pressure Sensor,,,,,Bharath,,,,Sensor,,
Point>Sensor>Pressure Sensor>Velocity Pressure Sensor,Exhaust Air Velocity Pressure Sensor,,,,AHU,,,,,,,Bharath,,,,Sensor,,
Point>Sensor>Speed Sensor,Motor Speed Sensor,,,,VFD,,,,,,,Jason,,,,Sensor,,
Point>Sensor>Speed Sensor,Wind Speed Sensor,,,,Weather,,,,,,,Jason,,,,Sensor,,
Point>Sensor>Speed Sensor>Differential Speed Sensor,Heat Wheel Speed Sensor,,,,AHU,,,,,,,Josh,,,,Sensor,,
Point>Sensor>Speed Sensor>Differential Speed Sensor,Return Fan Differential Speed Sensor,,,,AHU,,,,,,,,,,,Sensor,,
Point>Sensor>Temperature Sensor,Cold Box Temperature Sensor,,,,,,,,,,,Bharath,,,,Sensor,Cold Box,
Point>Sensor>Temperature Sensor,Condensor Temperature Sensor,,,,Condenser,,,,,,,Arka,,,,Sensor,,
Point>Sensor>Temperature Sensor,CRAC Temperature Sensor,,,,CRAC,,,,,,,Jason,,,,Sensor,,
Point>Sensor>Temperature Sensor,Discharge Air Temperature Sensor,,,,AHU; VAV; FCU,,Supply Air Temperature Sensor,,,,,Jason,,,Supply Air Temperature,Sensor,,
Point>Sensor>Temperature Sensor,Drive Temperature Sensor,Measures VFD temperature,,,VFD,,,,,O,X,Bharath,,,,Sensor,,
